Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,L. Messi CF,26,94,97,"FC Barcelona
2004 ~ 2016",158023,"169cm / 5'7""",67kg / 148lbs,Left,92,CAM,3,"Jul 1, 2004",,€78M,€450K,€0,431,84,97,71,89,90,442,97,87,86,76,96,469,96,88,94,96,95,380,81,73,78,60,88,329,48,22,93,90,76,,66,25,21,20,54,6,11,15,14,8,2171,454,3,4,Medium,Low,5,Normal (170-),92,90,86,96,27,63
,Cristiano Ronaldo LW LM,28,92,92,"Real Madrid
2009 ~ 2018",20801,"185cm / 6'1""",80kg / 176lbs,Right,90,ST,0,"Jul 1, 2009",,€56M,€325K,€0,428,83,92,86,82,85,424,90,88,79,72,95,443,91,94,93,90,75,449,94,94,89,79,93,342,63,24,89,81,85,,76,22,31,23,58,7,11,15,14,11,2220,468,4,5,High,Low,5,Normal (185+),93,92,81,91,32,79
,Z. Ibrahimović ST,31,90,90,"Paris Saint Germain
2012 ~ 2016",41236,"195cm / 6'5""",95kg / 209lbs,Right,87,ST,0,"Jul 1, 2012",,€38.5M,€250K,€0,418,76,91,76,86,89,410,88,80,80,72,90,362,72,78,86,85,41,424,93,72,78,93,88,365,84,20,86,84,91,,101,25,49,27,59,13,15,10,9,12,2139,455,4,5,Medium,Low,5,Normal (185+),75,90,81,86,37,86
,L. Suárez ST CF,26,89,89,"Liverpool
2011 ~ 2018",176580,"181cm / 5'11""",81kg / 179lbs,Right,86,ST,0,"Jan 31, 2011",,€32M,€210K,€0,408,77,89,75,82,85,415,92,86,84,64,89,427,88,79,86,89,85,399,84,69,86,76,84,374,78,41,86,84,85,,113,30,45,38,153,27,25,31,33,37,2289,459,4,4,High,Medium,5,Normal (170-185),83,86,79,90,42,79
,Falcao ST,27,89,89,"Monaco
2013 ~ 2018",167397,"176cm / 5'9""",75kg / 165lbs,Right,87,ST,0,"Jul 1, 2013",,€32M,€150K,€0,405,55,93,95,69,93,370,78,83,71,53,85,407,80,77,85,90,75,397,80,93,71,74,79,359,70,41,93,68,87,,92,25,42,25,43,10,13,6,9,5,2073,423,4,4,High,Medium,4,Normal (170-185),78,87,64,81,40,73
,F. Ribéry LM,30,89,89,"FC Bayern München
2007 ~ 2017",156616,"170cm / 5'7""",72kg / 159lbs,Right,88,RW,0,"Jul 1, 2007",,€24M,€230K,€0,373,83,79,41,89,81,423,92,86,81,72,92,454,92,88,92,90,92,339,76,53,72,64,74,339,52,36,83,88,80,,76,25,25,26,47,15,6,9,7,10,2051,437,4,5,High,Medium,5,Normal (170-),90,78,85,92,29,63
,R. van Persie ST,29,89,89,"Manchester United
2012 ~ 2016",7826,"187cm / 6'2""",71kg / 157lbs,Left,86,ST,0,"Aug 17, 2012",,€30M,€240K,€0,422,81,91,73,85,92,414,84,86,81,75,88,376,74,75,81,87,59,380,90,59,72,72,87,347,55,34,90,82,86,,76,23,32,21,39,9,10,5,7,8,2054,432,4,4,Medium,Low,5,Normal (185+),75,90,82,84,33,68
,Iniesta CM LW,29,89,89,"FC Barcelona
2002 ~ 2018",41,"170cm / 5'7""",65kg / 143lbs,Right,88,CAM,0,"Jul 1, 2002",,€25.5M,€230K,€0,381,85,73,54,95,74,419,91,80,65,89,94,410,76,75,83,90,86,331,65,54,78,59,75,373,58,68,89,93,65,,170,57,57,56,45,6,13,6,13,7,2129,449,4,4,High,Medium,5,Normal (170-),75,72,89,91,59,63
,E. Hazard LM RM,22,88,90,"Chelsea
2012 ~ 2017",183277,"173cm / 5'8""",74kg / 163lbs,Right,86,LM,2,"Jul 1, 2012",,€36M,€180K,€0,387,82,83,57,86,79,422,90,82,79,82,89,444,91,87,92,84,90,356,79,59,73,63,82,349,54,41,84,85,85,,74,25,27,22,45,11,12,6,8,8,2077,441,4,4,High,Medium,4,Normal (170-185),89,82,84,90,32,64
,Thiago Silva CB,28,88,88,"Paris Saint Germain
2012 ~ 2018",164240,"183cm / 6'0""",79kg / 174lbs,Right,86,CB,0,"Jul 1, 2012",,€22.5M,€180K,€0,319,60,38,81,77,63,364,68,61,73,81,81,389,79,81,75,86,68,396,78,90,77,80,71,372,77,91,59,74,71,,270,91,91,88,45,9,12,5,9,10,2155,453,3,3,Medium,High,4,Normal (170-185),80,57,73,74,90,79
