Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,L. Messi RW ST CF,32,94,94,"FC Barcelona
2004 ~ 2021",158023,"170cm / 5'7""",72kg / 159lbs,Left,94,RW,0,"Jul 1, 2004",,€95.5M,€560K,€195.8M,433,88,95,70,92,88,472,97,93,94,92,96,458,91,84,93,95,95,391,86,68,75,68,94,351,48,40,94,94,75,96,96,33,37,26,54,6,11,15,14,8,2255,472,4,4,Medium,Low,5,Unique,87,92,92,96,39,66
,Cristiano Ronaldo ST LW,34,93,93,"Juventus
2018 ~ 2022",20801,"187cm / 6'2""",83kg / 183lbs,Right,93,ST,0,"Jul 10, 2018",,€58.5M,€410K,€96.5M,437,84,94,89,83,87,415,89,81,76,77,92,433,88,91,87,96,71,446,95,95,85,78,93,354,63,29,95,82,85,95,84,28,32,24,58,7,11,15,14,11,2227,467,4,5,High,Low,5,Unique,90,93,82,89,35,78
,Neymar Jr LW CAM,27,92,92,"Paris Saint Germain
2017 ~ 2022",190871,"175cm / 5'9""",68kg / 150lbs,Right,92,LW,0,"Aug 3, 2017",,€105.5M,€290K,€195.2M,410,87,87,62,87,87,449,96,88,89,81,95,455,94,89,96,92,84,356,80,61,81,49,85,356,51,36,87,90,92,94,94,35,30,29,59,9,9,15,15,11,2179,452,5,5,High,Medium,5,Unique,91,85,87,95,36,58
,V. van Dijk CB,27,91,92,"Liverpool
2018 ~ 2023",203376,"193cm / 6'4""",92kg / 203lbs,Right,91,CB,1,"Jan 1, 2018",,€90M,€240K,€173.3M,316,53,52,87,79,45,360,70,60,70,83,77,356,74,79,61,89,53,402,81,90,75,92,64,347,83,90,47,65,62,90,272,93,93,86,58,13,10,13,11,11,2111,455,3,2,Medium,Medium,3,Normal (185+),77,60,70,71,91,86
,J. Oblak GK,26,91,93,"Atlético Madrid
2014 ~ 2023",200389,"188cm / 6'2""",87kg / 192lbs,Right,91,GK,2,"Jul 16, 2014",,€77.5M,€125K,€164.7M,95,13,11,15,43,13,109,12,13,14,40,30,307,43,60,67,88,49,268,59,78,41,78,12,140,34,19,11,65,11,68,57,27,12,18,436,87,92,78,90,89,1412,488,3,1,Medium,Medium,3,Normal (185+),87,92,78,89,52,90
,K. De Bruyne CAM CM,28,91,91,"Manchester City
2015 ~ 2023",192985,"181cm / 5'11""",70kg / 154lbs,Right,91,CAM,0,"Aug 30, 2015",,€90M,€370K,€166.5M,405,94,82,55,92,82,437,87,85,83,91,91,398,77,76,78,91,76,407,91,63,89,74,90,403,76,63,88,94,82,91,183,68,62,53,56,15,13,5,10,13,2289,481,5,4,High,High,4,Normal (170-185),76,86,92,87,62,78
,R. Lewandowski ST,30,91,91,"FC Bayern München
2014 ~ 2023",188545,"184cm / 6'0""",80kg / 176lbs,Right,91,ST,0,"Jul 1, 2014",,€86M,€300K,€141.9M,419,71,92,85,82,89,407,85,79,85,70,88,405,77,76,78,92,82,419,88,84,78,85,84,379,81,39,93,78,88,86,95,34,42,19,51,15,6,12,8,10,2175,450,4,4,High,Medium,4,Normal (170-185),76,89,77,85,41,82
,E. Hazard LW ST,28,91,91,"Real Madrid
2019 ~ 2024",183277,"175cm / 5'9""",74kg / 163lbs,Right,91,LW,0,"Jul 1, 2019",,€90M,€470K,€184.5M,398,81,84,61,89,83,434,95,83,79,83,94,461,94,88,95,90,94,365,82,56,84,63,80,359,54,41,87,89,88,91,83,34,27,22,45,11,12,6,8,8,2145,455,4,4,High,Medium,4,Normal (170-185),91,83,86,94,35,66
,Alisson GK,26,90,91,"Liverpool
2018 ~ 2024",212831,"191cm / 6'3""",91kg / 201lbs,Right,90,GK,1,"Jul 19, 2018",,€64.5M,€160K,€124.2M,114,17,13,19,45,20,138,27,19,18,44,30,268,56,47,40,88,37,240,64,52,32,78,14,140,27,11,13,66,23,65,50,15,19,16,439,86,88,85,91,89,1389,490,3,1,Medium,Medium,3,Normal (185+),86,88,85,89,51,91
,M. Salah RW ST,27,90,90,"Liverpool
2017 ~ 2023",209331,"175cm / 5'9""",71kg / 157lbs,Left,90,RW,0,"Jul 1, 2017",,€80.5M,€240K,€148.9M,391,79,90,59,84,79,406,90,83,69,75,89,460,94,92,91,92,91,393,80,69,85,75,84,374,63,55,91,84,81,90,122,38,43,41,62,14,14,9,11,14,2208,470,3,4,High,Medium,3,Unique,93,86,81,90,45,75
