Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,L. Messi CF RW,27,93,93,"FC Barcelona
2004 ~ 2018",158023,"170cm / 5'7""",72kg / 159lbs,Left,92,CAM,0,"Jul 1, 2004",,€100.5M,€550K,€0,423,84,94,71,89,85,447,96,89,90,76,96,469,96,90,94,94,95,378,80,73,77,60,88,326,48,22,92,90,74,,66,25,21,20,54,6,11,15,14,8,2163,453,4,4,Medium,Low,5,Normal (170-),93,88,86,96,27,63
,Cristiano Ronaldo LW ST,29,92,92,"Real Madrid
2009 ~ 2018",20801,"185cm / 6'1""",80kg / 176lbs,Right,91,ST,0,"Jul 1, 2009",,€79M,€375K,€0,433,83,95,86,82,87,424,93,88,79,72,92,431,91,94,93,90,63,449,94,94,89,79,93,344,63,24,91,81,85,,76,22,31,23,58,7,11,15,14,11,2215,469,4,5,High,Low,5,Normal (185+),93,93,81,91,32,79
,M. Neuer GK,28,90,90,"FC Bayern München
2011 ~ 2019",167495,"193cm / 6'4""",92kg / 203lbs,Right,87,GK,0,"Jul 1, 2011",,€63.5M,€300K,€0,142,25,25,25,42,25,147,25,25,25,41,31,285,58,61,43,88,35,272,42,78,44,83,25,171,29,30,25,50,37,,75,25,25,25,440,88,85,91,90,86,1532,500,4,1,Medium,Medium,5,Normal (185+),88,85,91,86,60,90
,A. Robben RM LM RW,30,90,90,"FC Bayern München
2009 ~ 2017",9014,"180cm / 5'11""",80kg / 176lbs,Left,89,CAM,0,"Aug 28, 2009",,€54.5M,€275K,€0,389,80,85,52,86,86,429,93,85,83,76,92,461,93,93,93,91,91,380,86,61,78,65,90,339,47,39,89,84,80,,81,29,26,26,49,10,8,11,5,15,2128,451,2,4,High,Low,5,Normal (170-185),93,86,83,93,32,64
,L. Suárez ST CF RW,27,89,89,"FC Barcelona
2014 ~ 2019",176580,"182cm / 6'0""",85kg / 187lbs,Right,87,CAM,0,"Jul 11, 2014",,€49.5M,€300K,€0,410,77,91,75,82,85,413,90,86,84,64,89,404,88,79,86,91,60,397,84,69,86,76,82,376,78,41,88,84,85,,113,30,45,38,153,27,25,31,33,37,2266,458,4,4,High,Medium,5,Normal (170-185),83,87,79,88,42,79
,Z. Ibrahimović ST,32,89,89,"Paris Saint Germain
2012 ~ 2016",41236,"195cm / 6'5""",95kg / 209lbs,Right,86,ST,0,"Jul 1, 2012",,€34.5M,€275K,€0,418,76,90,76,84,92,413,87,80,80,76,90,363,74,77,86,85,41,424,93,72,78,93,88,364,84,20,86,83,91,,93,25,41,27,59,13,15,10,9,12,2134,452,4,4,Medium,Low,5,Normal (185+),76,90,81,85,34,86
,Iniesta CM,30,89,89,"FC Barcelona
2002 ~ 2018",41,"171cm / 5'7""",68kg / 150lbs,Right,88,CAM,0,"Jul 1, 2002",,€36M,€250K,€0,379,85,73,54,93,74,425,92,80,70,89,94,410,76,75,83,90,86,331,65,54,78,59,75,377,58,68,87,93,71,,170,57,57,56,45,6,13,6,13,7,2137,449,4,4,High,Medium,5,Normal (170-),75,72,89,91,59,63
,E. Hazard LM,23,88,90,"Chelsea
2012 ~ 2020",183277,"173cm / 5'8""",74kg / 163lbs,Right,87,CAM,2,"Jul 1, 2012",,€40.5M,€210K,€0,383,78,83,57,86,79,426,93,82,79,82,90,448,93,87,92,86,90,357,79,59,74,63,82,351,54,41,84,86,86,,74,25,27,22,45,11,12,6,8,8,2084,443,4,4,High,Medium,4,Normal (170-185),90,82,83,92,32,64
,F. Ribéry LM,31,88,88,"FC Bayern München
2007 ~ 2017",156616,"170cm / 5'7""",72kg / 159lbs,Right,87,CAM,0,"Jul 1, 2007",,€33M,€200K,€0,373,83,79,41,89,81,422,92,84,81,74,91,451,91,87,92,89,92,334,76,51,72,62,73,339,52,36,83,88,80,,76,25,25,26,47,15,6,9,7,10,2042,435,4,5,High,Medium,4,Normal (170-),89,78,85,92,29,62
,B. Schweinsteiger CM CDM,29,88,88,"FC Bayern München
2002 ~ 2016",121944,"183cm / 6'0""",79kg / 174lbs,Right,86,CM,0,"Jul 1, 2002",,€39M,€200K,€0,407,81,76,79,88,83,414,81,82,78,87,86,362,58,64,74,91,75,415,86,82,86,78,83,415,80,86,82,86,81,,226,69,80,77,65,14,14,13,13,11,2304,467,3,3,High,High,4,Normal (170-185),61,80,85,82,78,81
,R. Lewandowski ST LW,25,87,89,"FC Bayern München
2014 ~ 2019",188545,"185cm / 6'1""",79kg / 174lbs,Right,85,ST,2,"Jul 1, 2014",,€44M,€210K,€0,398,62,88,83,83,82,382,84,77,68,66,87,409,79,81,80,88,81,401,84,83,75,79,80,362,80,39,87,79,77,,92,25,42,25,51,15,6,12,8,10,2095,441,4,4,High,Medium,4,Normal (170-185),80,85,74,85,39,78
,J. Boateng CB RB,25,87,89,"FC Bayern München
2011 ~ 2018",183907,"192cm / 6'4""",90kg / 198lbs,Right,85,CB,2,"Jul 14, 2011",,€35.5M,€200K,€0,324,69,34,86,77,58,299,67,56,26,74,76,361,74,85,65,84,53,377,78,78,73,90,58,318,82,84,47,59,46,,262,84,88,90,45,7,12,15,6,5,1986,438,4,3,Medium,Medium,4,Normal (170-185),80,50,68,70,86,84
,L. Modrić CM,28,87,87,"Real Madrid
2012 ~ 2018",177003,"174cm / 5'9""",65kg / 143lbs,Right,85,CM,0,"Aug 1, 2012",,€36.5M,€220K,€0,367,78,71,55,88,75,425,86,82,79,86,92,427,78,74,93,88,94,373,72,67,86,66,82,383,62,73,79,89,80,,217,69,75,73,52,13,9,7,14,9,2244,465,4,4,High,Medium,4,Lean (170-185),76,74,85,89,71,70
,G. Bale RW RM,24,87,91,"Real Madrid
2013 ~ 2019",173731,"183cm / 6'0""",74kg / 163lbs,Left,85,RW,4,"Sep 2, 2013",,€42.5M,€210K,€0,399,84,81,74,84,76,424,87,87,85,80,85,414,93,95,77,84,65,411,87,67,90,79,88,374,77,59,83,79,76,,187,60,65,62,52,15,15,11,5,6,2261,488,3,4,High,Low,4,Lean (170-185),94,83,83,84,63,81
