Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
"FIFA 12 Feb 22, 201279  77 Crossing69  65 Finishing80  77 Short passing73  70 FK Accuracy76  79 Shot power78  74 Vision79  78 Overall rating82  80 PotentialAttacking work rate Medium  HighFlairand 12 more changes",J. Gutiérrez LM RM RW LW,27,78,80,"Newcastle United
2008 ~ 2015",142822,"183cm / 6'0""",73kg / 161lbs,Right,77,LM,2,"Jan 1, 2008",,€6M,€30K,€0,346,77,65,65,77,62,367,82,66,70,71,78,368,78,79,77,68,66,377,79,61,86,77,74,342,54,66,80,74,68,,191,70,61,60,46,5,8,15,9,9,2037,442,3,3,High,High,3,Normal (170-185),79,70,75,79,65,74
"FIFA 12 Feb 22, 201260  54 Vision79  84 Sliding tackle77  78 Overall rating",G. Rodríguez CB,27,78,79,"Villarreal
2002 ~ 2014",142780,"182cm / 6'0""",79kg / 174lbs,Right,78,CB,1,"Jan 1, 2002",,€4.6M,€30K,€0,262,47,31,76,69,39,273,39,52,54,65,63,314,60,64,59,69,62,346,67,79,71,83,46,294,86,70,34,54,50,,244,78,82,84,53,13,5,12,13,10,1786,373,3,2,Medium,Medium,1,Normal (170-185),62,43,59,51,78,80
,N. Burdisso CB RB CDM,30,78,79,"Roma
2010 ~ 2014",139038,"182cm / 6'0""",81kg / 179lbs,Right,77,CB,1,"Jan 1, 2010",,€4M,€30K,€0,284,56,44,81,62,41,238,48,44,26,60,60,339,74,67,60,78,60,320,68,86,59,75,32,294,85,80,30,48,51,,235,78,79,78,52,8,13,11,8,12,1762,379,3,2,Medium,Medium,3,Lean (170-185),70,46,55,55,79,74
"FIFA 12 Feb 22, 201280  84 Finishing72  76 Short passing67  68 Long passing70  75 Ball control56  55 Sprint speed36  55 Agility71  74 Reactions59  65 Jumping81  82 Positioning75  78 Visionand 12 more changes",S. Abreu ST,34,78,78,"Botafogo
2010 ~ 2012",138993,"193cm / 6'4""",84kg / 185lbs,Left,78,ST,0,"Jan 1, 2010",,€3M,€20K,€0,393,67,84,90,76,76,338,70,60,65,68,75,287,69,55,55,74,34,336,81,65,30,90,70,352,72,40,82,78,80,,64,16,25,23,51,8,10,10,8,15,1821,383,3,3,High,Low,2,Normal (185+),61,80,72,68,32,70
"FIFA 12 Feb 22, 2012Long shot taker (AI)",Hugo Almeida ST,27,78,79,"Portugal
Free",138984,"192cm / 6'4""",91kg / 201lbs,Left,77,ST,1,"Jan 1, 2011",,€0,€0,€0,366,52,81,86,68,79,290,66,51,59,44,70,237,44,55,30,76,32,346,88,31,59,93,75,336,81,31,80,70,74,,73,11,41,21,58,13,6,12,13,14,1706,365,4,3,Medium,Medium,3,Stocky (185+),50,81,60,62,33,79
"FIFA 12 Feb 22, 201282  81 Finishing72  78 Heading accuracy78  76 Volleys74  77 Dribbling78  79 Ball control80  79 Shot power80  81 Strength72  67 Long shots74  73 Aggression80  78 Positioningand 16 more changes",M. López ST CF,27,78,80,"Milan
2012 ~ 2015",138806,"188cm / 6'2""",83kg / 183lbs,Right,77,ST,2,"Jan 1, 2012",,€7M,€40K,€0,369,64,81,78,70,76,349,77,69,65,59,79,338,69,73,69,78,49,360,79,55,78,81,67,337,73,38,78,72,76,,102,29,41,32,56,14,14,10,9,9,1911,407,4,3,Medium,Medium,3,Normal (185+),71,77,67,75,40,77
"FIFA 12 Feb 22, 201269  77 Crossing83  81 Finishing73  70 Heading accuracy77  67 Volleys77  78 Dribbling57  69 Long passing88  82 Ball control76  78 AccelerationPosition 2 CF  RWPosition 3 N/A  CFand 19 more changes",Kléber ST RW CF,27,78,78,"Grêmio
2011 ~ 2015",138457,"173cm / 5'8""",78kg / 172lbs,Right,78,ST,0,"Jan 1, 2011",,€6M,€30K,€0,370,77,81,70,75,67,361,78,68,64,69,82,386,78,70,76,77,85,378,81,56,75,88,78,350,85,40,79,70,76,,161,42,61,58,37,5,11,5,11,5,2043,440,3,4,High,High,2,Stocky (170-185),74,79,73,79,52,83
"FIFA 12 Feb 22, 201254  53 Acceleration51  53 Sprint speed66  62 Agility80  79 GK Diving70  68 GK Kicking80  79 GK Positioning83  82 GK Reflexes79  78 Overall rating79  78 Potential",M. Storari GK,34,78,78,"Juventus
2010 ~ 2013",137854,"187cm / 6'2""",76kg / 168lbs,Right,78,GK,0,"Jan 1, 2010",,€1.1M,€30K,€0,80,12,12,13,31,12,99,11,8,12,38,30,303,53,53,62,70,65,237,35,74,55,60,13,138,55,21,12,40,10,,44,14,15,15,386,79,78,68,79,82,1287,439,2,1,Medium,Medium,2,Lean (185+),79,78,68,82,53,79
,P. Odemwingie ST CF,29,78,78,"West Bromwich Albion
2010 ~ 2014",137671,"182cm / 6'0""",74kg / 163lbs,Right,77,ST,0,"Jan 1, 2010",,€5.5M,€20K,€0,361,63,78,71,75,74,355,76,73,70,58,78,385,81,82,76,79,67,390,76,79,87,71,77,322,67,32,80,63,80,,68,16,31,21,56,14,6,14,7,15,1937,407,3,3,High,Medium,3,Normal (170-185),82,77,67,76,30,75
"FIFA 12 Feb 22, 201284  82 Finishing68  78 Curve82  78 Acceleration86  83 Sprint speed79  68 Agility79  78 Overall rating79  78 Potential",D. Lazović CF ST CAM RW,28,78,78,"Zenit
2010 ~ 2013",137534,"184cm / 6'0""",80kg / 176lbs,Right,78,CF,0,"Jan 1, 2010",,€6M,€30K,€0,368,76,82,62,69,79,381,81,78,80,62,80,367,78,83,68,79,59,374,80,69,70,76,79,346,80,32,79,74,81,,69,19,21,29,53,7,15,5,12,14,1958,414,4,4,High,Low,2,Normal (170-185),81,81,71,78,28,75
