Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,L. Messi CF RW ST,31,94,94,"FC Barcelona
2004 ~ 2021",158023,"170cm / 5'7""",72kg / 159lbs,Left,94,CAM,0,"Jul 1, 2004",,€110.5M,€575K,€226.5M,429,86,95,70,92,86,469,97,93,94,89,96,460,91,86,93,95,95,385,85,68,72,66,94,333,48,22,94,94,75,96,87,33,28,26,54,6,11,15,14,8,2217,462,4,4,Medium,Low,5,Unique,88,91,91,96,32,64
,Cristiano Ronaldo ST LW,33,94,94,"Juventus
2018 ~ 2022",20801,"187cm / 6'2""",83kg / 183lbs,Right,92,ST,0,"Jul 10, 2018",,€77M,€400K,€127.1M,435,84,94,89,81,87,416,88,81,76,77,94,433,89,91,87,96,70,450,95,95,88,79,93,354,63,29,95,82,85,95,82,28,31,23,58,7,11,15,14,11,2228,467,4,5,High,Low,5,Unique,90,93,81,89,35,79
,Neymar Jr LW CAM,26,92,92,"Paris Saint Germain
2017 ~ 2022",190871,"175cm / 5'9""",68kg / 150lbs,Right,90,RW,0,"Aug 3, 2017",,€108M,€300K,€199.8M,400,83,87,62,84,84,446,96,88,87,80,95,458,94,90,96,94,84,353,80,61,81,49,82,350,56,36,89,88,81,94,84,27,24,33,59,9,9,15,15,11,2150,446,5,5,High,Medium,5,Unique,92,84,84,95,32,59
,J. Oblak GK,25,91,93,"Atlético Madrid
2014 ~ 2023",200389,"188cm / 6'2""",87kg / 192lbs,Right,89,GK,2,"Jul 16, 2014",,€75.5M,€120K,€160.4M,81,13,11,15,29,13,81,12,13,14,26,16,307,43,60,67,88,49,229,22,76,41,78,12,140,34,19,11,65,11,70,57,27,12,18,435,86,92,78,90,89,1330,487,3,1,Medium,Medium,3,Normal (185+),86,92,78,89,52,90
,K. De Bruyne CAM CM,27,91,91,"Manchester City
2015 ~ 2023",192985,"181cm / 5'11""",70kg / 154lbs,Right,89,CAM,0,"Aug 30, 2015",,€93M,€350K,€172.1M,404,93,82,55,92,82,436,86,85,83,91,91,401,78,76,79,91,77,408,91,63,89,75,90,397,76,61,87,94,79,90,177,68,58,51,56,15,13,5,10,13,2279,481,5,4,High,High,4,Normal (170-185),77,86,92,87,61,78
,E. Hazard LW CF,27,91,91,"Chelsea
2012 ~ 2020",183277,"173cm / 5'8""",76kg / 168lbs,Right,90,CAM,0,"Jul 1, 2012",,€93M,€325K,€172.1M,395,81,84,61,89,80,434,95,83,79,83,94,461,94,88,95,90,94,368,82,56,84,66,80,357,54,41,87,89,86,91,83,34,27,22,45,11,12,6,8,8,2143,457,4,4,High,Medium,4,Normal (170-185),91,83,86,94,35,68
,L. Modrić CM,32,91,91,"Real Madrid
2012 ~ 2020",177003,"172cm / 5'8""",66kg / 146lbs,Right,88,CM,0,"Aug 1, 2012",,€67M,€425K,€137.4M,382,86,72,55,93,76,433,90,85,78,88,92,426,78,72,92,90,94,376,79,68,89,58,82,398,62,83,79,92,82,92,217,68,76,73,52,13,9,7,14,9,2284,472,4,4,High,High,4,Lean (170-185),75,76,90,91,73,67
,L. Suárez ST,31,91,91,"FC Barcelona
2014 ~ 2021",176580,"182cm / 6'0""",86kg / 190lbs,Right,87,ST,0,"Jul 11, 2014",,€80M,€450K,€164M,423,77,92,82,82,90,413,86,86,84,69,88,413,83,73,82,92,83,413,86,69,90,83,85,389,87,41,92,84,85,85,145,62,45,38,153,27,25,31,33,37,2349,470,4,3,High,Medium,5,Normal (170-185),78,89,80,86,52,85
,H. Kane ST,24,90,92,"Tottenham Hotspur
2010 ~ 2024",202126,"188cm / 6'2""",89kg / 196lbs,Right,87,ST,2,"Jul 1, 2010",,€96.5M,€200K,€185.8M,422,75,94,86,82,85,393,80,78,68,83,84,375,68,72,71,91,73,426,88,79,89,84,86,377,78,35,93,81,90,91,130,56,36,38,54,8,10,11,14,11,2177,453,4,3,High,High,3,Normal (185+),70,91,80,81,47,84
,De Gea GK,27,90,92,"Manchester United
2011 ~ 2020",193080,"192cm / 6'4""",82kg / 181lbs,Right,88,GK,2,"Jul 1, 2011",,€62.5M,€200K,€123.4M,114,17,13,21,50,13,143,18,21,19,47,38,308,57,58,62,88,43,217,31,67,43,64,12,174,38,30,12,65,29,70,59,25,21,13,436,90,84,83,86,93,1451,494,3,1,Medium,Medium,4,Lean (185+),90,84,83,93,58,86
,R. Lewandowski ST,29,90,90,"FC Bayern München
2014 ~ 2021",188545,"184cm / 6'0""",80kg / 176lbs,Right,87,ST,0,"Jul 1, 2014",,€77M,€200K,€127.1M,409,62,90,85,83,89,402,85,77,86,65,89,402,77,78,78,90,79,418,88,84,78,84,84,374,80,39,92,77,86,86,95,34,42,19,51,15,6,12,8,10,2151,449,4,4,High,Medium,4,Normal (170-185),78,88,75,85,41,82
