Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,L. Messi CF ST RW,30,94,94,"FC Barcelona
2004 ~ 2021",158023,"170cm / 5'7""",72kg / 159lbs,Left,93,CAM,0,"Jul 1, 2004",,€118.5M,€575K,€242.9M,417,77,95,71,88,86,462,97,90,92,87,96,459,92,87,90,95,95,372,85,67,73,59,88,330,48,22,93,92,75,97,67,13,28,26,54,6,11,15,14,8,2161,449,4,4,Medium,Medium,5,Unique,89,90,87,96,26,61
,Cristiano Ronaldo LW ST,32,94,94,"Real Madrid
2009 ~ 2021",20801,"187cm / 6'2""",83kg / 183lbs,Right,92,ST,0,"Jul 1, 2009",,€95.5M,€575K,€195.8M,438,85,94,88,83,88,418,91,81,76,77,93,428,89,91,89,96,63,453,94,95,92,80,92,357,63,29,95,85,85,95,76,22,31,23,58,7,11,15,14,11,2228,468,4,5,High,Low,5,Unique,90,93,82,90,33,80
,Neymar LW,25,92,93,"Paris Saint Germain
2017 ~ 2022",190871,"175cm / 5'9""",68kg / 150lbs,Right,89,CAM,1,"Aug 3, 2017",,€119.5M,€275K,€230M,390,75,88,62,82,83,432,96,82,84,75,95,450,94,90,96,88,82,350,80,61,78,53,78,346,56,36,90,83,81,92,78,21,24,33,59,9,9,15,15,11,2105,441,5,5,High,Medium,5,Unique,92,84,80,95,30,60
,L. Suárez ST,30,92,92,"FC Barcelona
2014 ~ 2021",176580,"182cm / 6'0""",86kg / 190lbs,Right,88,CF,0,"Jul 11, 2014",,€97M,€500K,€198.9M,419,77,94,77,83,88,411,86,86,84,64,91,422,88,77,86,93,78,414,87,69,89,83,86,389,87,41,92,84,85,85,113,30,45,38,153,27,25,31,33,37,2321,465,4,4,High,Medium,5,Normal (170-185),82,90,79,87,42,85
,M. Neuer GK,31,92,92,"FC Bayern München
2011 ~ 2021",167495,"193cm / 6'4""",92kg / 203lbs,Right,90,GK,0,"Jul 1, 2011",,€61M,€225K,€100.7M,119,15,13,25,55,11,162,30,14,11,59,48,287,56,60,51,85,35,244,25,77,43,83,16,188,29,30,12,70,47,70,31,10,10,11,456,91,90,95,91,89,1487,514,4,1,Medium,Medium,5,Normal (185+),91,90,95,89,58,91
,De Gea GK,26,91,93,"Manchester United
2011 ~ 2019",193080,"193cm / 6'4""",76kg / 168lbs,Right,89,GK,2,"Jul 1, 2011",,€74.5M,€300K,€143.4M,114,17,13,21,50,13,151,18,21,19,51,42,308,57,58,60,90,43,214,31,67,40,64,12,188,38,30,12,68,40,64,47,13,21,13,443,90,85,87,88,93,1465,501,3,1,Medium,Medium,4,Lean (185+),90,85,87,93,58,88
,K. De Bruyne CAM CM,26,91,92,"Manchester City
2015 ~ 2023",192985,"181cm / 5'11""",68kg / 150lbs,Right,88,CAM,1,"Aug 30, 2015",,€104.5M,€400K,€201.2M,402,92,83,54,91,82,431,86,85,83,87,90,405,78,76,82,90,79,403,89,65,88,73,88,388,73,60,86,92,77,86,149,40,58,51,56,15,13,5,10,13,2234,467,5,4,High,High,4,Normal (170-185),77,85,90,87,52,76
,R. Lewandowski ST,28,91,91,"FC Bayern München
2014 ~ 2021",188545,"185cm / 6'1""",79kg / 174lbs,Right,88,ST,0,"Jul 1, 2014",,€92M,€350K,€151.8M,412,62,91,85,85,89,400,85,77,84,65,89,407,79,79,78,91,80,419,88,84,79,84,84,376,80,39,91,78,88,87,86,25,42,19,51,15,6,12,8,10,2151,450,4,3,High,Medium,4,Normal (170-185),79,89,76,86,38,82
,E. Hazard LW CF,26,91,91,"Chelsea
2012 ~ 2020",183277,"173cm / 5'8""",76kg / 168lbs,Right,89,CAM,0,"Jul 1, 2012",,€95.5M,€400K,€176.7M,394,81,84,60,89,80,432,94,83,79,83,93,454,93,88,93,87,93,366,79,59,81,67,80,357,54,41,87,89,86,89,74,25,27,22,45,11,12,6,8,8,2122,451,4,4,High,Medium,4,Normal (170-185),90,82,86,93,32,68
,T. Kroos CM CDM,27,90,90,"Real Madrid
2014 ~ 2022",182521,"183cm / 6'0""",76kg / 168lbs,Right,87,CM,0,"Jul 17, 2014",,€79M,€325K,€162M,387,85,76,54,90,82,430,79,85,84,93,89,362,65,66,71,89,71,360,87,32,77,74,90,381,60,81,79,88,73,85,218,67,82,69,51,10,11,13,7,10,2189,460,5,3,Medium,Medium,4,Normal (170-185),66,81,89,81,73,70
