Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,K. Kvaratskhelia LW CAM,21,81,90,"Napoli
2022 ~ 2027",247635,"183cm / 6'0""",70kg / 154lbs,Right,83,CAM,9,"Jul 1, 2022",,€58M,€53K,€110.2M,359,75,78,62,80,64,381,85,78,59,72,87,398,83,84,84,74,73,358,78,59,73,70,78,324,61,37,80,81,65,76.0,114,41,39,34,54,9,15,8,14,8,1988,431,5,5,Medium,Medium,2,Normal (170-185),84,77,77,84,41,68
,Rafael Leão LW CF ST,23,84,90,"Milan
2019 ~ 2024",241721,"188cm / 6'2""",81kg / 179lbs,Right,84,LW,6,"Aug 1, 2019",,€66.5M,€90K,€126.4M,368,75,80,63,76,74,378,89,80,60,63,86,427,90,92,82,83,80,371,80,62,77,80,72,303,60,24,82,74,63,81.0,67,22,24,21,57,10,12,15,11,9,1971,428,4,4,Medium,Low,1,Normal (185+),91,77,73,86,27,74
,E. Zeballos RW LW,20,72,84,"Boca Juniors
2020 ~ 2026",260601,"174cm / 5'9""",71kg / 157lbs,Right,73,CAM,12,"Oct 22, 2020",,€5.5M,€10K,€8.8M,280,69,60,34,65,52,339,78,64,66,57,74,409,86,83,90,67,83,291,69,46,69,43,64,270,40,28,68,70,64,75.0,97,27,36,34,41,5,11,11,6,8,1727,371,3,4,High,Low,1,Normal (170-185),84,63,66,78,31,49
,Rodrygo RW LW ST,21,82,89,"Real Madrid
2019 ~ 2028",243812,"174cm / 5'9""",64kg / 141lbs,Right,84,CAM,7,"Jul 1, 2019",,€62M,€140K,€139.5M,373,75,85,67,79,67,396,86,80,73,73,84,427,88,88,87,80,84,362,76,75,81,54,76,313,53,21,79,79,81,82.0,88,24,34,30,42,9,8,12,8,5,2001,423,4,4,Medium,Medium,1,Lean (170-185),88,80,77,85,31,62
,M. Mudryk LM LW,21,75,85,"Chelsea
2023 ~ 2031",246340,"175cm / 5'9""",61kg / 134lbs,Right,76,CAM,10,"Jan 15, 2023",,€12.5M,€57K,€25.6M,287,69,66,39,66,47,348,80,62,63,64,79,411,93,90,86,67,75,314,69,60,64,53,68,286,62,28,69,75,52,70.0,141,51,52,38,49,10,12,14,6,7,1836,406,4,4,High,Medium,1,Normal (170-185),91,66,68,79,44,58
,Alexandre Pato ST RM LM,32,71,71,"Orlando City
2021 ~ 2022",180175,"175cm / 5'9""",72kg / 159lbs,Right,71,ST,0,"Feb 13, 2021",,€1.5M,€6K,€2.3M,342,68,68,67,71,68,348,74,81,70,53,70,352,70,72,70,71,69,344,74,81,50,70,69,307,63,29,75,66,74,74.0,77,35,23,19,59,16,7,13,15,8,1829,376,4,4,Medium,Low,3,Normal (170-185),71,70,67,72,32,64
,M. Maignan GK,26,87,89,"Milan
2021 ~ 2026",215698,"191cm / 6'3""",89kg / 196lbs,Right,87,GK,2,"Jul 1, 2021",,€75M,€90K,€133.1M,123,18,15,17,57,16,178,31,38,16,53,40,285,50,53,41,85,56,276,65,74,39,78,20,151,35,25,15,61,15,66.0,58,23,16,19,428,85,82,87,85,89,1499,479,4,1,Medium,Medium,2,Normal (185+),85,82,87,89,51,85
,E. Camavinga CM CDM LB,19,80,89,"Real Madrid
2021 ~ 2027",248243,"182cm / 6'0""",68kg / 150lbs,Left,83,CM,9,"Sep 1, 2021",,€45.5M,€82K,€102.4M,343,74,62,64,84,59,377,80,72,59,81,85,395,78,79,81,79,78,371,73,70,81,78,69,367,78,77,73,77,62,82.0,234,75,80,79,50,12,6,8,12,12,2137,459,3,4,High,High,3,Lean (170-185),79,66,78,82,76,78
,E. Fernández CM CDM,21,81,88,"Chelsea
2023 ~ 2031",247090,"178cm / 5'10""",76kg / 168lbs,Right,83,CM,7,"Feb 1, 2023",,€52M,€86K,€106.6M,358,66,66,66,85,75,386,78,74,69,84,81,381,77,72,76,79,77,395,83,70,85,79,78,392,82,75,79,86,70,80.0,225,76,75,74,39,8,6,7,8,10,2176,461,4,3,High,High,1,Normal (170-185),74,73,80,79,74,81
,D. Calabria RB RWB,25,80,83,"Milan
2015 ~ 2025",228881,"177cm / 5'10""",70kg / 154lbs,Right,80,RB,3,"Jul 1, 2015",,€25.5M,€60K,€45.3M,323,77,48,64,74,60,336,71,74,48,70,73,398,80,78,81,78,81,358,68,72,82,65,71,320,80,79,51,62,48,78.0,242,82,82,78,56,8,14,15,12,7,2033,432,3,3,High,High,2,Normal (170-185),79,57,70,74,79,73
