Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning
,L. Messi RW CF,28,94,94,"FC Barcelona
2004 ~ 2018",158023,"170cm / 5'7""",72kg / 159lbs,Left,91,RW,0,"Jul 1, 2004",,€101M,€550K,€0,417,80,93,71,88,85,450,96,89,90,79,96,464,95,90,92,92,95,370,80,68,75,59,88,324,48,22,90,90,74,,57,13,23,21,54,6,11,15,14,8,2136,446,4,4,Medium,Low,5,Unique,92,88,86,95,24,61
,Cristiano Ronaldo LW LM ST,30,93,93,"Real Madrid
2009 ~ 2018",20801,"185cm / 6'1""",80kg / 176lbs,Right,91,ST,0,"Jul 1, 2009",,€85.5M,€475K,€0,431,82,95,86,81,87,421,93,88,77,72,91,428,91,93,90,92,62,450,94,94,90,79,93,350,62,29,93,81,85,,76,22,31,23,58,7,11,15,14,11,2214,468,4,5,High,Low,5,Unique,92,93,80,91,33,79
,Neymar LW,23,90,94,"FC Barcelona
2013 ~ 2018",190871,"174cm / 5'9""",68kg / 150lbs,Right,87,LW,4,"Jul 1, 2013",,€89.5M,€275K,€0,383,72,88,62,78,83,418,94,78,79,74,93,443,91,90,92,86,84,336,78,61,79,45,73,341,56,36,89,79,81,,78,21,24,33,59,9,9,15,15,11,2058,428,5,5,High,Medium,5,Unique,90,82,76,93,30,57
,L. Suárez ST,28,90,90,"FC Barcelona
2014 ~ 2019",176580,"182cm / 6'0""",85kg / 187lbs,Right,88,CF,0,"Jul 11, 2014",,€69M,€300K,€0,413,77,90,77,82,87,413,88,86,84,64,91,403,88,78,86,91,60,406,88,69,88,76,85,379,78,41,91,84,85,,113,30,45,38,153,27,25,31,33,37,2280,458,4,4,High,Medium,5,Normal (170-185),83,88,79,87,42,79
,M. Neuer GK,29,90,90,"FC Bayern München
2011 ~ 2021",167495,"193cm / 6'4""",92kg / 203lbs,Right,87,GK,0,"Jul 1, 2011",,€58M,€250K,€0,112,15,13,25,48,11,119,16,14,11,47,31,284,58,61,43,87,35,246,25,78,44,83,16,178,29,30,12,70,37,,31,10,10,11,440,85,87,91,90,87,1410,500,4,1,Medium,Medium,5,Normal (185+),85,87,91,87,60,90
,Z. Ibrahimović ST,33,89,89,"Paris Saint Germain
2012 ~ 2016",41236,"195cm / 6'5""",95kg / 209lbs,Right,86,ST,0,"Jul 1, 2012",,€40.5M,€220K,€0,418,76,90,76,84,92,413,87,80,80,76,90,358,72,74,86,85,41,421,93,72,75,93,88,364,84,20,86,83,91,,83,15,41,27,59,13,15,10,9,12,2116,446,4,4,Medium,Low,5,Normal (185+),73,90,81,85,31,86
,A. Robben RM RW,31,89,89,"FC Bayern München
2009 ~ 2017",9014,"180cm / 5'11""",80kg / 176lbs,Left,88,CAM,0,"Aug 28, 2009",,€50M,€250K,€0,387,80,85,51,85,86,425,93,86,83,73,90,453,90,90,91,91,91,375,86,61,73,65,90,338,47,39,88,84,80,,81,29,26,26,49,10,8,11,5,15,2108,445,2,4,High,Low,5,Normal (170-185),90,86,82,92,32,63
,R. Lewandowski ST,26,88,88,"FC Bayern München
2014 ~ 2019",188545,"185cm / 6'1""",79kg / 174lbs,Right,86,ST,0,"Jul 1, 2014",,€57M,€250K,€0,400,62,89,83,82,84,382,85,77,68,65,87,404,79,81,78,88,78,411,85,83,79,82,82,362,80,39,88,78,77,,86,25,42,19,51,15,6,12,8,10,2096,444,4,3,Medium,Medium,4,Normal (170-185),80,86,74,85,38,81
,E. Hazard LM,24,88,90,"Chelsea
2012 ~ 2020",183277,"173cm / 5'8""",74kg / 163lbs,Right,87,CAM,2,"Jul 1, 2012",,€64M,€210K,€0,382,80,81,57,85,79,427,94,82,79,82,90,448,93,87,92,86,90,357,79,59,74,63,82,351,54,41,84,86,86,,74,25,27,22,45,11,12,6,8,8,2084,442,4,4,High,Medium,4,Normal (170-185),90,81,83,92,32,64
,M. Özil CAM,26,88,89,"Arsenal
2013 ~ 2018",176635,"183cm / 6'0""",76kg / 168lbs,Left,86,CAM,1,"Sep 2, 2013",,€61M,€250K,€0,375,80,75,54,89,77,423,86,84,79,84,90,386,77,68,84,87,70,318,70,52,64,56,76,331,54,24,84,93,76,,57,22,16,19,50,6,14,10,6,14,1940,401,2,4,Medium,Low,4,Lean (170-185),72,75,87,86,24,57
,Thiago Silva CB,30,88,88,"Paris Saint Germain
2012 ~ 2018",164240,"183cm / 6'0""",79kg / 174lbs,Right,86,CB,0,"Jul 1, 2012",,€38M,€200K,€0,322,60,38,82,79,63,363,68,61,73,81,80,375,72,76,75,84,68,397,78,93,74,81,71,372,77,91,59,74,71,,270,90,91,89,45,9,12,5,9,10,2144,446,3,3,High,High,4,Normal (170-185),74,57,73,73,90,79
